ID,DB_Adj_Close,ETFC_Adj_Close,FBP_Adj_Close,RF_Adj_Close,PNC_Adj_Close,KEY_Adj_Close,JPM_Adj_Close,ITUB_Adj_Close,HBAN_Adj_Close,ING_Adj_Close,FULT_Adj_Close,FITB_Adj_Close,FHN_Adj_Close,FCNCAdj_Close,CSV_Adj_Close
23-04-19,8.394713,49.851109,11.364597,14.756008,129.516037,16.457664,110.183212,8.103922,13.137394,12.542502,16.265211,27.202724,14.369964,441.107086,18.620815
24-04-19,8.355394,49.35714,10.951696,14.765608,129.487106,16.409765,109.999153,7.960575,13.089761,12.327059,16.361568,27.135555,14.398724,438.716034,18.995796
25-04-19,8.207946,49.584362,10.932035,14.852014,129.554642,16.419344,110.057274,8.123034,13.032599,12.256402,16.351933,27.116364,14.283687,440.379791,18.591211
26-04-19,8.050668,49.653522,11.08933,14.928817,131.340057,16.563042,110.890381,8.209044,13.089761,12.324547,16.544649,27.2507,14.341205,444.394836,18.443193
29-04-19,8.178456,50.651337,11.266288,15.053624,132.227951,16.802528,112.488785,8.151704,13.270768,12.412163,16.698822,27.586536,14.485,447.543091,18.216228
30-04-19,8.139136,50.048698,11.108994,14.909616,132.150757,16.812107,112.420982,8.266382,13.261242,12.421898,16.621738,27.653704,14.465828,446.58667,17.318247
01-05-19,8.011348,49.495453,11.020513,14.563997,130.490799,16.620516,111.558807,8.151704,13.11834,12.275871,16.361568,27.346653,14.350792,444.902954,17.081415
02-05-19,8.080157,49.851109,11.17781,14.81361,131.195313,16.869585,111.800995,8.222348,13.280294,12.266137,16.583193,27.663298,14.494586,451.508331,17.535343
03-05-19,8.080157,49.989418,11.354767,14.957619,132.314819,16.974958,112.488785,8.212787,13.423197,12.266137,16.843359,27.807228,14.580864,455.29425,18.058342
06-05-19,7.972028,49.841232,11.384259,14.775208,131.513779,16.936642,111.490997,7.973763,13.299349,12.090906,16.804817,27.634512,14.437068,457.954315,18.364248
07-05-19,7.686963,49.228718,10.932035,14.506393,128.309647,16.620516,109.669785,7.878155,13.004019,11.720975,16.631372,26.943651,14.206995,451.149658,18.443193
08-05-19,7.736112,49.179314,10.843556,14.352786,127.383171,16.457664,109.088547,8.002446,12.899224,11.720975,16.525379,26.617409,14.0632,451.119781,18.492533
09-05-19,7.647643,49.4757,10.843556,14.333584,127.334923,16.563042,109.001358,7.868595,12.937332,11.51654,16.419386,26.703768,14.159064,446.835754,18.966192
10-05-19,7.736112,49.188389,10.823895,14.448791,127.817474,16.572617,108.991676,7.868595,13.013546,11.565215,16.457928,26.895674,14.101544,449.914276,19.248531
13-05-19,7.510025,47.068283,10.381501,13.767152,123.966728,15.834995,106.027367,7.648695,12.441941,11.166079,15.812329,25.984119,13.61264,434.123108,19.248531
14-05-19,7.549344,48.049084,10.509302,13.959164,125.23101,16.208595,106.870163,7.658255,12.632476,11.234223,16.091768,26.271976,13.756437,444.733612,19.189093
15-05-19,7.539515,47.23671,10.322515,13.747952,124.188698,15.873313,106.463295,7.581768,12.3562,11.010319,16.014681,25.907354,13.526364,442.093414,19.367411
16-05-19,7.529684,47.950012,10.489641,13.939964,126.524246,16.064903,107.829201,7.447915,12.546736,11.107668,16.207397,26.137642,13.650987,446.068634,19.466476
17-05-19,7.451046,47.514103,10.293022,13.824757,125.674957,16.045744,107.306084,7.333186,12.594369,10.932438,16.139946,26.176023,13.631813,441.326263,19.377316
